frame,MAP Vacuum,Engine Speed,Injector Pulse Width Cylinder 5,Injector Pulse Width Cylinder 6,Injector Pulse Width Cylinder 7,Injector Pulse Width Cylinder 8,1/1 O2 Goal(0-1),1/1 O2 Volts(0-1)
0,17.99,578.0,2080.0,2024.0,2072.0,2056.0,0.61,0.59
1,17.99,574.0,2048.0,2072.0,2072.0,2144.0,0.61,0.78
2,17.99,592.0,1992.0,2096.0,2008.0,2152.0,0.61,0.8
3,17.99,594.0,2024.0,2088.0,1992.0,2136.0,0.61,0.78
4,17.99,588.0,2000.0,2080.0,1976.0,2152.0,0.61,0.78
5,17.99,591.0,1968.0,2024.0,1976.0,2064.0,0.61,0.76
6,17.99,590.0,1992.0,2040.0,1992.0,2080.0,0.61,0.73
7,17.99,586.0,1984.0,2032.0,1984.0,2080.0,0.61,0.69
8,17.99,584.0,1992.0,1992.0,1992.0,2040.0,0.61,0.67
9,17.99,584.0,1992.0,2000.0,1968.0,2048.0,0.61,0.71
10,17.99,584.0,1976.0,2032.0,1960.0,2056.0,0.61,0.65
11,17.99,584.0,1992.0,2000.0,1952.0,2056.0,0.61,0.71
12,17.99,592.0,1968.0,2008.0,1960.0,2056.0,0.61,0.71
13,17.99,591.0,1952.0,1992.0,1952.0,2040.0,0.61,0.71
14,17.99,589.0,1960.0,2008.0,1992.0,2048.0,0.61,0.67
15,17.99,582.0,2656.0,3264.0,2920.0,4056.0,0.61,0.67
16,16.05,638.0,3704.0,3384.0,3656.0,3736.0,0.61,0.84
17,14.16,845.0,3968.0,3712.0,3992.0,3824.0,0.63,0.88
18,13.92,1004.0,4088.0,4040.0,4272.0,4312.0,0.59,0.78
19,12.74,1101.0,3984.0,3984.0,3656.0,3752.0,0.61,0.04
20,17.23,1064.0,2264.0,2224.0,2088.0,2136.0,0.63,0.49
21,19.0,906.0,1912.0,1888.0,1880.0,1904.0,0.63,0.76
22,18.94,780.0,1992.0,1976.0,1984.0,2040.0,0.65,0.22
23,18.53,720.0,2104.0,2072.0,2128.0,2144.0,0.63,0.02
24,18.11,678.0,2232.0,2232.0,2224.0,2312.0,0.65,0.02
25,18.05,625.0,2184.0,2200.0,2224.0,2304.0,0.65,0.02
26,18.05,589.0,2216.0,2256.0,2288.0,2352.0,0.67,0.04
27,17.7,577.0,2408.0,2904.0,3032.0,3440.0,0.67,0.37
28,16.81,657.0,3112.0,3336.0,3000.0,3328.0,0.65,0.73
29,15.52,775.0,3408.0,3736.0,3552.0,3904.0,0.65,0.84
30,14.69,933.0,3448.0,3688.0,3384.0,3512.0,0.61,0.65
31,16.17,994.0,2944.0,2648.0,2696.0,2656.0,0.55,0.16
32,17.94,956.0,2368.0,2192.0,2312.0,2144.0,0.57,0.14
33,18.64,854.0,2136.0,1952.0,2160.0,1968.0,0.57,0.71
34,18.7,775.0,2152.0,1968.0,2032.0,2160.0,0.57,0.76
35,18.58,732.0,2056.0,2168.0,2056.0,2176.0,0.59,0.59
36,18.47,698.0,2056.0,2136.0,2064.0,2224.0,0.61,0.08
37,18.41,666.0,2048.0,2176.0,2072.0,2216.0,0.61,0.06
38,18.41,633.0,2384.0,2504.0,2432.0,2856.0,0.61,0.04
39,18.05,661.0,2704.0,2616.0,2696.0,2632.0,0.61,0.06
40,17.64,691.0,2600.0,2616.0,2800.0,2728.0,0.65,0.75
41,17.23,731.0,2808.0,2624.0,2848.0,2832.0,0.67,0.82
42,16.46,789.0,3200.0,3032.0,3240.0,3296.0,0.63,0.76
43,15.46,864.0,3600.0,3512.0,3656.0,3664.0,0.59,0.14
44,14.87,951.0,3648.0,3840.0,3448.0,3872.0,0.57,0.06
45,16.34,1019.0,2736.0,2856.0,2592.0,2784.0,0.57,0.1
46,18.17,952.0,2376.0,2528.0,2800.0,2968.0,0.61,0.67
47,17.88,879.0,3456.0,3352.0,3432.0,3328.0,0.63,0.82
48,16.64,887.0,3144.0,2824.0,3032.0,2744.0,0.63,0.88
49,17.7,896.0,2392.0,2392.0,2344.0,2416.0,0.61,0.88
50,18.23,830.0,2720.0,3000.0,2952.0,3384.0,0.57,0.86
51,16.58,844.0,3248.0,3296.0,3328.0,3384.0,0.55,0.86
52,15.28,923.0,3208.0,3080.0,3000.0,2976.0,0.53,0.75
53,17.05,959.0,2416.0,2384.0,2304.0,2344.0,0.53,0.78
54,18.23,881.0,2056.0,2080.0,2056.0,2144.0,0.53,0.61
55,18.53,821.0,2272.0,2064.0,2312.0,2152.0,0.53,0.14
56,18.35,800.0,2496.0,2248.0,2696.0,2448.0,0.51,0.08
57,17.82,801.0,2552.0,2296.0,2416.0,2320.0,0.53,0.59
58,18.17,809.0,2312.0,2272.0,2096.0,2288.0,0.55,0.82
59,18.47,740.0,2352.0,2504.0,2280.0,2640.0,0.57,0.82
60,18.11,748.0,2336.0,2688.0,2328.0,2704.0,0.57,0.73
61,17.52,766.0,2496.0,2728.0,2464.0,2776.0,0.55,0.78
62,17.4,799.0,2352.0,2472.0,2296.0,2520.0,0.55,0.31
63,17.82,809.0,2432.0,2432.0,2520.0,3032.0,0.55,0.1
64,16.52,817.0,3184.0,3144.0,3368.0,3200.0,0.53,0.06
65,14.57,899.0,4024.0,3816.0,4192.0,4008.0,0.55,0.04
66,13.81,999.0,4552.0,4376.0,4648.0,4552.0,0.57,0.04
67,13.16,1113.0,5048.0,4936.0,5264.0,5056.0,0.59,0.04
68,12.57,1195.0,5464.0,4928.0,4952.0,4568.0,0.61,0.75
69,15.4,1219.0,3632.0,3224.0,2944.0,3288.0,0.61,0.88
70,18.17,1070.0,2232.0,2352.0,2608.0,2976.0,0.59,0.9
71,18.29,926.0,2552.0,2936.0,2456.0,2440.0,0.57,0.9
72,18.35,872.0,2304.0,2304.0,2296.0,2232.0,0.55,0.9
73,18.58,812.0,2176.0,2176.0,2168.0,2160.0,0.55,0.88
74,18.7,761.0,2352.0,2416.0,2600.0,2792.0,0.51,0.88
75,18.23,749.0,2280.0,2232.0,2264.0,2256.0,0.49,0.88
76,18.23,742.0,2496.0,2280.0,2512.0,2704.0,0.47,0.88
