frame,Longitudinal Acceleration,Throttle Pedal Position,Vehicle Speed,Engine RPM,Left Front Wheel Speed,Right Front Wheel Speed,Left Rear Wheel Speed,Right Rear Wheel Speed
0,-0.16,0.0,0.0,611.0,0.0,0.0,0.0,0.0
1,-0.16,0.0,0.0,606.0,0.0,0.0,0.0,0.0
2,-0.16,0.0,0.0,611.0,0.0,0.0,0.0,0.0
3,-0.16,0.0,0.0,610.0,0.0,0.0,0.0,0.0
4,-0.16,0.0,0.0,613.0,0.0,0.0,0.0,0.0
5,-0.16,0.0,0.0,608.0,0.0,0.0,0.0,0.0
6,-0.16,0.0,0.0,609.0,0.0,0.0,0.0,0.0
7,-0.16,0.0,0.0,614.0,0.0,0.0,0.0,0.0
8,-0.16,0.0,0.0,610.0,0.0,0.0,0.0,0.0
9,-0.16,0.0,0.0,602.0,0.0,0.0,0.0,0.0
10,-0.16,0.0,0.0,601.0,0.0,0.0,0.0,0.0
11,-0.16,0.0,0.0,612.0,0.0,0.0,0.0,0.0
12,-0.16,0.0,0.0,615.0,0.0,0.0,0.0,0.0
13,-0.16,0.0,0.0,615.0,0.0,0.0,0.0,0.0
14,-0.08,0.0,0.0,610.0,0.0,0.0,0.0,0.0
15,-0.16,0.0,0.0,615.0,0.0,0.0,0.0,0.0
16,-0.08,0.0,0.0,614.0,0.0,0.0,0.0,0.0
17,-0.08,0.0,0.0,619.0,0.0,0.0,0.0,0.0
18,-0.16,0.0,0.0,606.0,0.0,0.0,0.0,0.0
19,-0.08,0.0,0.0,603.0,0.0,0.0,0.0,0.0
20,-0.16,0.0,0.0,607.0,0.0,0.0,0.0,0.0
21,-0.08,0.0,0.0,606.0,0.0,0.0,0.0,0.0
22,-0.16,0.0,0.0,604.0,0.0,0.0,0.0,0.0
23,-0.08,0.0,0.0,613.0,0.0,0.0,0.0,0.0
24,-0.16,0.0,0.0,611.0,0.0,0.0,0.0,0.0
25,-0.16,0.0,0.0,620.0,0.0,0.0,0.0,0.0
26,-0.16,0.0,0.0,609.0,0.0,0.0,0.0,0.0
27,-0.24,0.0,0.0,622.0,0.0,0.0,0.0,0.0
28,-0.24,0.0,0.0,614.0,0.0,0.0,0.0,0.0
29,-0.24,0.0,0.0,615.0,0.0,0.0,0.0,0.0
30,-0.24,0.0,0.0,616.0,0.0,0.0,0.0,0.0
31,-0.24,0.0,0.0,616.0,0.0,0.0,0.0,0.0
32,-0.24,0.0,0.0,613.0,0.0,0.0,0.0,0.0
33,-0.24,0.0,0.0,607.0,0.0,0.0,0.0,0.0
34,-0.32,5.49,0.0,667.0,0.0,0.0,0.0,0.0
35,-0.32,6.67,0.0,751.0,0.0,0.0,0.0,0.0
36,-0.56,5.1,0.0,832.0,6.5,0.0,0.0,0.0
37,-0.72,0.0,0.0,868.0,8.0,7.5,8.5,8.0
38,-0.64,0.0,0.0,792.0,10.5,9.5,10.0,9.5
39,-0.48,0.0,1.09,719.0,11.0,9.5,11.0,10.0
40,-0.08,2.35,0.0,690.0,10.5,10.0,10.5,9.5
41,0.0,9.8,0.0,724.0,10.0,10.0,11.0,9.5
42,-0.24,10.98,1.17,815.0,12.5,11.0,12.5,9.5
43,-0.56,0.0,1.34,925.0,14.5,12.5,14.5,12.0
44,-0.72,0.0,1.56,948.0,18.0,14.5,17.5,14.5
45,-0.72,2.75,1.9,842.0,20.5,17.5,19.5,17.0
46,-0.64,6.27,2.1,826.0,21.5,19.0,22.0,18.5
47,-0.56,0.0,2.21,857.0,24.5,21.0,23.0,20.0
48,-0.56,0.0,2.45,797.0,26.0,22.5,24.5,21.0
49,-0.48,0.0,2.5,725.0,27.0,24.0,26.0,22.5
50,-0.32,0.0,2.65,681.0,28.0,24.5,27.0,24.0
51,-0.24,0.0,2.75,627.0,29.0,25.5,28.5,25.5
52,-0.16,0.0,2.82,600.0,29.5,26.5,28.5,25.5
53,-0.08,0.0,2.87,604.0,29.5,27.0,29.0,26.0
54,-0.08,0.0,2.9,602.0,30.0,27.0,29.0,26.5
55,-0.08,0.0,2.91,602.0,31.0,27.5,29.5,26.5
56,-0.08,0.0,2.96,607.0,31.5,28.0,30.0,27.0
57,-0.08,0.0,3.03,610.0,32.0,28.5,31.0,27.5
58,0.0,0.0,3.09,629.0,32.5,29.0,31.5,28.0
59,-0.16,0.0,3.12,625.0,33.0,29.5,32.0,28.5
60,-0.08,0.0,3.21,619.0,33.0,30.0,32.5,29.5
61,-0.08,0.0,3.27,628.0,34.0,30.5,33.0,30.0
62,-0.16,0.0,3.36,631.0,34.0,31.5,33.5,31.5
63,-0.16,0.0,3.44,620.0,34.5,33.0,34.0,34.0
64,-0.24,0.0,3.6,625.0,35.5,33.5,35.5,34.0
65,-0.16,0.0,3.67,639.0,36.0,35.5,36.0,35.5
66,-0.08,0.0,3.78,643.0,37.0,36.5,37.5,36.0
67,0.0,0.0,3.88,641.0,37.5,37.0,38.0,37.0
