pid,unit,n,na,min,max,mean,sd,first,last,range,flag
Mis-Fire Monitor Status,,0,968,,,,,,,,NO-DATA
Mis-Fire Counter-200 REV,,968,0,1.0,799.0,398.8543388429752,227.3534594378641,176.0,278.0,798.0,
Mis-Fire Counter CAT 200 Rev,,968,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
Cylinder 1 FTP Mis-Fire Counter,,968,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
Cylinder 2 FTP Mis-Fire Counter,,968,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
Cylinder 3 FTP Mis-Fire Counter,,968,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
Cylinder 4 FTP Mis-Fire Counter,,968,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
Cylinder 5 FTP Mis-Fire Counter,,968,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
Cylinder 6 FTP Mis-Fire Counter,,968,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
Cylinder 7 FTP Mis-Fire Counter,,968,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
Cylinder 8 FTP Mis-Fire Counter,,968,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
