frame,Mis-Fire Monitor Status,Mis-Fire Counter-200 REV,Mis-Fire Counter CAT 200 Rev,Cylinder 1 FTP Mis-Fire Counter,Cylinder 2 FTP Mis-Fire Counter,Cylinder 3 FTP Mis-Fire Counter,Cylinder 4 FTP Mis-Fire Counter,Cylinder 5 FTP Mis-Fire Counter,Cylinder 6 FTP Mis-Fire Counter,Cylinder 7 FTP Mis-Fire Counter,Cylinder 8 FTP Mis-Fire Counter
0,,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,,796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,,774.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,,753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,,731.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,,709.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,,687.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,,661.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,,604.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
