frame,Engine Speed,Injector Pulse Width Cylinder 1,Injector Pulse Width Cylinder 2,Injector Pulse Width Cylinder 7,Injector Pulse Width Cylinder 8,Mass Airflow,Knock Sensor 1 Volts,Knock Sensor 2 Volts
0,657.0,1272.0,1280.0,1216.0,1304.0,5.18,0.24,0.22
1,657.0,1272.0,1280.0,1216.0,1304.0,5.18,0.24,0.22
2,601.0,1248.0,1240.0,1208.0,1256.0,5.33,0.25,0.23
3,583.0,1360.0,1280.0,1304.0,1304.0,5.31,0.22,0.22
4,581.0,1384.0,1304.0,1328.0,1352.0,5.36,0.26,0.23
5,582.0,1440.0,1352.0,1392.0,3200.0,27.95,0.23,0.24
6,756.0,4064.0,3888.0,3520.0,3608.0,3.94,0.26,0.28
7,1004.0,2064.0,1752.0,1720.0,2728.0,29.83,0.33,0.26
8,1313.0,8400.0,8696.0,8616.0,8504.0,61.96,0.49,0.69
9,2616.0,928.0,776.0,696.0,680.0,12.83,0.35,0.46
10,2393.0,592.0,584.0,560.0,552.0,13.95,0.41,0.31
11,2203.0,752.0,712.0,752.0,768.0,14.23,0.36,0.37
12,2005.0,896.0,816.0,1112.0,880.0,17.97,0.38,0.32
13,1839.0,840.0,768.0,776.0,752.0,8.86,0.34,0.31
14,1631.0,736.0,648.0,672.0,672.0,9.62,0.3,0.25
15,1447.0,720.0,680.0,712.0,720.0,7.78,0.27,0.28
16,1254.0,736.0,696.0,712.0,736.0,7.05,0.28,0.23
17,1059.0,920.0,864.0,912.0,904.0,6.98,0.27,0.25
18,935.0,1008.0,960.0,1000.0,1016.0,6.63,0.26,0.28
19,807.0,1128.0,1096.0,1112.0,1136.0,5.85,0.23,0.26
20,681.0,4640.0,3496.0,4312.0,4920.0,37.3,0.33,0.26
21,1196.0,6952.0,6624.0,6848.0,6648.0,49.79,0.45,0.8
22,2419.0,3496.0,2208.0,1704.0,1504.0,12.77,0.45,0.3
23,2518.0,624.0,592.0,512.0,568.0,16.58,0.34,0.32
24,2174.0,872.0,808.0,832.0,832.0,12.67,0.39,0.37
25,2008.0,944.0,912.0,936.0,952.0,9.85,0.34,0.26
26,1734.0,736.0,728.0,672.0,688.0,7.78,0.29,0.35
27,1454.0,728.0,688.0,720.0,768.0,8.24,0.32,0.27
28,1214.0,768.0,752.0,760.0,800.0,7.75,0.27,0.27
29,1072.0,1536.0,2000.0,2176.0,2496.0,27.73,0.4,0.24
30,1181.0,3912.0,4120.0,3952.0,4520.0,32.6,0.45,0.65
31,1770.0,1584.0,1464.0,1256.0,1304.0,9.58,0.38,0.39
32,1797.0,904.0,888.0,792.0,864.0,8.41,0.34,0.4
33,1544.0,632.0,648.0,632.0,680.0,7.43,0.33,0.29
34,1344.0,1400.0,1632.0,1624.0,1784.0,23.36,0.3,0.34
35,1438.0,2144.0,2008.0,1752.0,1664.0,7.57,0.28,0.35
36,1532.0,1144.0,1016.0,952.0,976.0,7.43,0.3,0.36
37,1399.0,704.0,688.0,648.0,704.0,7.34,0.37,0.29
38,1211.0,1352.0,1688.0,1520.0,1776.0,17.33,0.31,0.31
39,1298.0,2096.0,2208.0,2048.0,2296.0,17.06,0.35,0.28
40,1509.0,2328.0,2152.0,2176.0,2144.0,18.12,0.4,0.36
41,1668.0,2104.0,1864.0,2024.0,1856.0,18.29,0.36,0.39
42,1870.0,1872.0,1792.0,1840.0,1808.0,19.55,0.44,0.43
43,2033.0,1920.0,1832.0,1792.0,1872.0,19.27,0.52,0.58
44,2117.0,1672.0,1720.0,1552.0,1624.0,19.21,0.44,0.55
45,2238.0,1480.0,1480.0,1416.0,1472.0,23.52,0.35,0.44
46,2467.0,8048.0,7304.0,5408.0,4704.0,17.77,0.96,0.76
47,3246.0,1472.0,1360.0,1088.0,1048.0,20.82,0.82,0.6
48,3090.0,784.0,752.0,688.0,728.0,15.71,0.61,0.54
49,2832.0,608.0,584.0,560.0,584.0,12.94,0.49,0.42
50,2601.0,608.0,608.0,624.0,664.0,17.22,0.38,0.39
51,2340.0,664.0,648.0,632.0,664.0,13.97,0.39,0.32
52,2164.0,672.0,568.0,728.0,680.0,12.54,0.42,0.35
53,1950.0,696.0,680.0,648.0,648.0,8.96,0.47,0.38
54,1633.0,2656.0,3160.0,3880.0,5208.0,85.2,0.54,0.56
55,2336.0,3176.0,2464.0,1896.0,1680.0,11.64,0.53,0.45
56,2521.0,928.0,904.0,752.0,784.0,13.25,0.44,0.37
57,2451.0,640.0,568.0,600.0,656.0,13.36,0.35,0.36
58,2296.0,680.0,688.0,648.0,680.0,12.57,0.36,0.37
59,2160.0,704.0,704.0,688.0,768.0,11.49,0.41,0.4
60,1883.0,912.0,896.0,848.0,896.0,11.18,0.42,0.35
61,1657.0,728.0,744.0,672.0,728.0,8.09,0.35,0.34
62,1391.0,624.0,640.0,600.0,640.0,7.85,0.34,0.28
63,1175.0,736.0,696.0,712.0,752.0,6.94,0.27,0.27
64,957.0,856.0,808.0,816.0,832.0,6.47,0.27,0.29
65,842.0,952.0,888.0,960.0,960.0,6.62,0.27,0.26
66,780.0,1072.0,1064.0,1080.0,1120.0,6.19,0.26,0.22
67,626.0,1256.0,1216.0,1216.0,1280.0,5.67,0.23,0.23
68,586.0,1392.0,1368.0,1328.0,1464.0,5.98,0.27,0.25
69,593.0,1520.0,1504.0,1440.0,1520.0,5.28,0.25,0.23
70,607.0,1528.0,1504.0,1456.0,1512.0,5.31,0.26,0.23
71,611.0,1504.0,1416.0,1432.0,1456.0,5.28,0.26,0.23
72,607.0,1520.0,1400.0,1432.0,1456.0,5.25,0.26,0.23
73,610.0,1488.0,1400.0,1416.0,1456.0,5.22,0.26,0.23
74,608.0,1456.0,1408.0,1424.0,1432.0,5.23,0.26,0.23
75,606.0,1456.0,1392.0,1416.0,1416.0,5.24,0.26,0.23
76,606.0,1448.0,1368.0,1376.0,1424.0,5.07,0.26,0.23
77,601.0,1448.0,1368.0,1384.0,1416.0,5.16,0.26,0.23
