frame,MAP Vacuum,TPS 1 Volts,TPS 2 Volts,ETC Directional Duty Cycle,Engine Speed,1/1 Short Term ADAP,2/1 Long Term ADAP,Oil Pressure
0,20.53,0.7,4.3,-14.03,591.0,-1.37,8.79,0.0
1,20.53,0.7,4.3,-13.66,588.0,-1.57,8.79,0.0
2,20.59,0.7,4.3,-12.38,602.0,-1.96,8.79,0.0
3,20.59,0.7,4.3,-11.95,597.0,-2.35,8.79,0.0
4,20.59,0.7,4.3,-11.53,596.0,-2.35,8.79,0.0
5,20.59,0.7,4.3,-10.25,592.0,-2.55,8.79,0.0
6,20.59,0.7,4.3,-12.38,591.0,-2.74,8.79,0.0
7,20.59,0.7,4.3,-13.66,589.0,-2.94,8.79,0.0
8,20.59,0.7,4.3,-13.24,587.0,-2.94,8.79,0.0
9,20.59,0.7,4.3,-13.24,585.0,-3.13,8.79,0.0
10,20.59,0.7,4.3,-13.32,580.0,-3.13,8.79,0.0
11,20.36,0.74,4.27,-7.73,562.0,-0.98,8.79,0.0
12,19.65,0.73,4.27,-16.4,560.0,-0.98,8.79,0.0
13,19.41,0.73,4.25,-10.74,546.0,-0.79,7.03,0.0
14,18.82,0.74,4.25,-7.34,557.0,-0.4,5.47,0.0
15,18.41,0.74,4.28,-8.16,581.0,-0.2,7.03,0.0
16,18.53,0.75,4.21,-8.11,588.0,0.19,5.47,0.0
17,16.28,0.96,4.03,-14.09,645.0,-5.08,5.47,0.0
18,15.52,0.75,4.25,-8.08,842.0,-5.08,5.47,0.0
19,16.58,0.94,4.09,-17.43,897.0,-5.87,7.03,0.0
20,17.82,0.74,4.27,-8.92,867.0,-6.65,5.47,0.0
21,17.88,0.97,4.01,-8.11,828.0,-7.04,7.03,0.0
22,16.99,0.76,4.25,-10.68,863.0,-4.69,7.03,0.0
23,18.88,0.81,4.17,-7.26,784.0,-4.3,5.47,0.0
24,18.7,0.76,4.25,-17.19,752.0,-3.52,5.47,0.0
25,19.12,0.75,4.26,-9.02,693.0,-8.79,5.47,0.0
26,18.88,0.84,4.17,-12.89,663.0,-9.19,5.47,0.0
27,18.47,0.76,4.26,-15.18,685.0,-9.38,5.47,0.0
28,18.82,0.74,4.26,-4.32,658.0,-10.16,5.47,0.0
29,18.76,0.79,4.22,-7.3,649.0,-10.94,5.47,0.0
30,18.41,0.79,4.21,-13.32,664.0,-11.33,5.47,0.0
31,18.23,0.81,4.17,-5.12,679.0,-11.92,5.47,0.0
32,16.7,0.92,4.07,5.55,738.0,-6.45,5.47,0.0
33,13.98,1.0,3.99,20.83,957.0,-3.13,5.47,0.0
34,12.09,1.06,3.94,8.5,1214.0,2.53,1.37,0.0
35,13.86,0.91,4.09,-5.52,1253.0,4.88,5.47,0.0
36,15.58,1.01,3.99,14.95,1185.0,2.73,5.47,0.0
37,14.81,0.93,4.07,-10.2,1199.0,-2.15,5.47,0.0
38,17.35,0.78,4.23,-17.0,1114.0,-2.94,5.47,0.0
39,19.47,0.82,4.17,-8.54,994.0,-3.72,5.47,0.0
40,19.53,0.76,4.26,-17.08,939.0,-4.11,5.47,0.0
41,20.18,0.87,4.12,-5.12,940.0,0.97,5.47,0.0
42,18.05,0.92,4.08,-4.68,1053.0,1.17,5.47,0.0
43,17.05,0.93,4.07,-15.3,1101.0,3.9,5.47,0.0
44,17.11,0.89,4.12,-19.13,1139.0,5.46,5.47,0.0
45,18.53,0.81,4.19,-6.38,1100.0,0.19,5.47,0.0
46,18.76,0.89,4.15,-18.36,1072.0,-0.4,5.47,0.0
47,19.59,0.76,4.25,-17.43,1063.0,-1.57,5.47,0.0
48,20.94,0.74,4.26,-12.81,974.0,-2.35,5.47,0.0
49,21.42,0.77,4.22,-8.08,991.0,-2.35,5.47,0.0
50,21.3,0.77,4.24,-16.58,1007.0,-1.76,5.47,0.0
51,21.42,0.76,4.24,-5.52,1001.0,-0.98,5.47,0.0
52,21.12,0.82,4.17,-4.68,989.0,4.68,5.47,0.0
53,20.41,0.84,4.14,-9.82,1035.0,5.46,5.47,0.0
54,19.53,0.89,4.12,-21.35,1068.0,7.42,5.47,0.0
55,19.76,0.79,4.23,-20.07,1064.0,9.56,5.47,0.0
56,20.71,0.8,4.2,-4.7,1007.0,9.37,5.47,0.0
57,20.59,0.79,4.21,-17.51,1018.0,7.81,5.47,0.0
58,21.06,0.74,4.26,-14.52,977.0,2.53,5.47,0.0
59,21.54,0.74,4.27,-16.76,938.0,2.14,5.47,0.0
60,21.77,0.73,4.28,-17.93,885.0,1.75,5.47,0.0
61,21.89,0.73,4.27,-7.26,840.0,1.17,5.47,0.0
62,21.77,0.74,4.27,-8.11,784.0,0.19,5.47,0.0
63,21.54,0.74,4.27,-12.89,768.0,-0.4,5.47,0.0
64,21.36,0.73,4.27,-15.8,766.0,-0.59,5.47,0.0
65,21.3,0.73,4.27,-15.8,771.0,-0.59,5.47,0.0
66,21.3,0.73,4.27,-15.04,768.0,-0.59,5.47,0.0
67,21.24,0.73,4.26,-9.02,758.0,-0.79,5.47,0.0
68,21.0,0.76,4.24,-12.95,728.0,-0.79,5.47,0.0
69,20.47,0.75,4.25,-8.59,696.0,4.49,5.47,0.0
70,20.18,0.76,4.24,-6.87,672.0,4.49,5.47,0.0
71,19.76,0.76,4.24,-10.68,656.0,4.09,5.47,0.0
72,19.41,0.77,4.23,-9.88,655.0,3.7,5.47,0.0
73,19.12,0.77,4.23,-5.12,669.0,-1.76,5.47,0.0
74,18.88,0.78,4.22,-9.88,674.0,-2.35,5.47,0.0
75,18.47,0.79,4.21,-14.88,699.0,-2.74,5.47,0.0
76,18.64,0.77,4.23,-17.0,697.0,-2.74,5.47,0.0
77,18.76,0.8,4.17,-4.27,690.0,-3.33,5.47,0.0
78,17.99,0.77,4.23,-14.09,731.0,-3.72,5.47,0.0
79,18.7,0.75,4.25,-7.22,684.0,-4.69,5.47,0.0
80,18.94,0.76,4.24,-11.1,655.0,-4.5,7.03,0.0
81,18.94,0.76,4.2,-7.26,632.0,-1.96,5.47,0.0
82,15.99,0.93,4.06,15.73,771.0,-1.37,5.47,0.0
83,13.69,1.0,3.99,5.95,1076.0,-7.43,5.47,0.0
84,14.93,0.79,4.2,-6.8,1163.0,-1.96,5.47,0.0
85,16.64,1.02,3.97,19.64,1095.0,-0.01,5.47,0.0
86,13.69,1.04,3.96,17.43,1155.0,2.14,5.47,0.0
87,12.86,1.05,3.95,10.63,1272.0,6.05,5.47,0.0
88,13.63,1.01,3.99,9.35,1305.0,-1.18,3.32,0.0
89,14.28,1.01,3.99,7.65,1260.0,-1.76,3.32,0.0
90,14.4,1.0,4.0,16.58,1212.0,8.2,3.32,0.0
91,11.68,1.14,3.86,23.49,1308.0,2.73,4.49,0.0
92,10.5,1.15,3.85,8.92,1477.0,-1.76,4.49,0.0
93,14.87,0.96,4.03,18.36,1211.0,-2.35,3.32,0.0
94,14.4,1.01,3.99,23.91,1194.0,8.0,4.49,0.0
95,11.56,1.1,3.93,7.26,1355.0,7.42,4.49,0.0
96,14.28,0.95,4.05,2.13,1260.0,-0.01,3.32,0.0
97,15.46,0.97,4.02,12.81,1132.0,4.09,5.47,0.0
98,14.1,1.01,3.99,21.35,1199.0,0.77,5.47,0.0
99,13.81,1.01,3.99,13.6,1229.0,-1.76,5.47,0.0
100,17.82,0.79,4.07,-0.85,957.0,-4.89,5.47,0.0
101,14.99,0.99,4.01,20.92,1046.0,-1.18,5.47,0.0
