frame,Mis-Fire Monitor Status,Mis-Fire Counter-200 REV,Mis-Fire Counter CAT 200 Rev,Cylinder 1 FTP Mis-Fire Counter,Cylinder 2 FTP Mis-Fire Counter,Cylinder 3 FTP Mis-Fire Counter,Cylinder 4 FTP Mis-Fire Counter,Cylinder 5 FTP Mis-Fire Counter,Cylinder 6 FTP Mis-Fire Counter,Cylinder 7 FTP Mis-Fire Counter,Cylinder 8 FTP Mis-Fire Counter
0,,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,,782.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,,761.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,,742.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,,722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,,702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,,682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,,663.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,,644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,,623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,,603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,,577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,,547.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,,515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,,485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,,454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,,412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,,349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,,282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,,259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,,786.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,,765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,,744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,,723.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,,702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,,680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,,660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,,639.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,,619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,,598.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,,577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,,556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,,535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,,514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,,492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,,472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,,429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,,409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,,388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
