frame,MAP Vacuum,TPS 1 Volts,TPS 2 Volts,ETC Directional Duty Cycle,Engine Speed,Injector Pulse Width Cylinder 7,Injector Pulse Width Cylinder 8,1/1 Short Term ADAP
0,19.94,0.71,4.29,-11.29,576.0,1520.0,1528.0,-1.76
1,19.94,0.71,4.29,-12.55,577.0,1536.0,1544.0,-1.76
2,19.94,0.71,4.29,-12.96,575.0,1504.0,1512.0,-1.96
3,19.94,0.71,4.29,-12.55,586.0,1504.0,1520.0,-2.15
4,19.94,0.71,4.29,-12.55,578.0,1528.0,1528.0,-2.35
5,19.94,0.71,4.29,-12.55,576.0,1528.0,1576.0,-2.35
6,19.88,0.71,4.29,-12.13,575.0,1536.0,1576.0,-2.35
7,19.88,0.71,4.29,-12.55,578.0,1520.0,1576.0,-2.35
8,19.88,0.72,4.29,-12.55,577.0,1536.0,1576.0,-1.96
9,19.88,0.71,4.29,-12.55,577.0,1544.0,1560.0,0.38
10,19.88,0.72,4.29,-12.55,578.0,1576.0,1552.0,0.58
11,19.88,0.72,4.25,-1.24,592.0,2904.0,3176.0,1.36
12,18.82,0.74,4.27,-16.13,634.0,1968.0,1904.0,1.36
13,19.06,0.72,4.27,-7.0,670.0,1912.0,1856.0,1.95
14,19.29,0.74,4.28,-11.52,730.0,1640.0,1664.0,-0.59
15,20.06,0.72,4.29,-9.47,695.0,1472.0,1480.0,-0.79
16,20.41,0.71,4.29,-17.48,651.0,1368.0,1384.0,-0.98
17,20.53,0.71,4.29,-9.16,609.0,1336.0,1344.0,-1.18
18,20.47,0.72,4.28,-9.67,583.0,2416.0,2416.0,-1.57
19,19.82,0.76,4.25,-15.13,579.0,1680.0,1672.0,-1.76
20,19.35,0.75,4.25,-13.53,576.0,1752.0,1744.0,-1.76
21,18.88,0.78,4.22,-9.11,547.0,3184.0,2072.0,-2.15
22,17.7,0.82,4.18,-7.01,560.0,2496.0,2520.0,-2.35
23,16.7,0.83,4.17,-8.54,619.0,2760.0,2744.0,-2.55
24,16.22,0.82,4.18,-11.6,686.0,2792.0,2776.0,-2.94
25,16.58,0.88,4.07,26.9,710.0,3496.0,3448.0,-5.28
26,13.86,0.88,4.15,-16.33,855.0,3656.0,3696.0,-4.69
27,15.1,0.8,4.22,-2.52,901.0,2752.0,2904.0,-4.69
28,17.46,0.81,4.2,-7.94,767.0,2320.0,2296.0,-2.55
29,17.7,0.8,4.21,2.52,678.0,2368.0,2272.0,-2.35
30,17.29,0.83,4.17,-8.41,679.0,2616.0,2536.0,-2.15
31,16.76,0.79,4.2,-3.33,715.0,2640.0,2608.0,-1.37
32,17.17,0.79,4.21,-11.24,699.0,2480.0,2480.0,-0.59
33,17.4,0.79,4.21,-10.87,680.0,2456.0,2448.0,-0.01
34,17.46,0.79,4.21,-9.57,679.0,2480.0,2448.0,0.38
35,17.46,0.79,4.21,-9.2,679.0,2456.0,2408.0,0.97
36,17.46,0.79,4.21,-10.41,681.0,2480.0,2488.0,1.56
37,17.46,0.79,4.21,-8.74,680.0,2520.0,2488.0,2.14
38,17.46,0.79,4.21,-6.66,684.0,2480.0,2504.0,2.73
39,17.52,0.79,4.21,-7.44,684.0,2496.0,2488.0,3.12
40,17.58,0.79,4.21,-7.91,687.0,2480.0,2456.0,3.12
41,17.58,0.79,4.21,-7.91,684.0,2416.0,2472.0,0.77
42,17.58,0.79,4.21,-7.91,691.0,2424.0,2488.0,0.77
43,17.58,0.79,4.21,-7.86,689.0,2392.0,2448.0,0.77
44,17.64,0.79,4.21,-7.49,676.0,2384.0,2352.0,0.58
45,17.64,0.79,4.21,-6.2,685.0,2448.0,2376.0,2.92
46,17.64,0.79,4.21,-9.93,686.0,2440.0,2384.0,2.92
47,17.64,0.79,4.21,-12.49,684.0,2440.0,2376.0,2.92
48,17.64,0.79,4.21,-13.74,683.0,2360.0,2448.0,0.58
49,17.64,0.79,4.21,-12.41,681.0,2384.0,2432.0,0.58
50,17.64,0.79,4.21,-12.07,683.0,2384.0,2448.0,0.58
51,17.64,0.79,4.21,-12.07,680.0,2448.0,2472.0,2.92
52,17.7,0.79,4.21,-9.16,684.0,2448.0,2472.0,2.92
53,17.7,0.79,4.21,-8.68,685.0,2448.0,2400.0,2.92
54,17.7,0.79,4.21,-9.57,689.0,2416.0,2400.0,2.92
