frame,TPS 1 Volts,TPS 2 Volts,Engine Speed,Purge AirFlow,Injector Pulse Width Cylinder 1,Injector Pulse Width Cylinder 2,1/1 O2 Goal(0-1),1/1 O2 Volts(0-1)
0,0.76,4.24,590.0,0.1,2136.0,2184.0,0.67,0.76
1,0.76,4.24,592.0,0.1,2144.0,2176.0,0.67,0.73
2,0.76,4.24,588.0,0.1,2104.0,2176.0,0.67,0.75
3,0.76,4.24,590.0,0.1,2144.0,2160.0,0.67,0.73
4,0.76,4.24,592.0,0.1,2136.0,2144.0,0.67,0.73
5,0.76,4.24,591.0,0.1,2088.0,2152.0,0.67,0.69
6,0.76,4.24,591.0,0.1,2104.0,2168.0,0.67,0.73
7,0.76,4.24,584.0,0.1,2088.0,2152.0,0.67,0.53
8,0.76,4.24,587.0,0.1,2176.0,2136.0,0.67,0.22
9,0.76,4.24,589.0,0.1,2144.0,2128.0,0.67,0.16
10,0.76,4.24,588.0,0.11,2176.0,2136.0,0.67,0.16
11,0.76,4.24,583.0,0.11,2192.0,2144.0,0.67,0.16
12,0.76,4.24,588.0,0.11,2184.0,2192.0,0.67,0.39
13,0.76,4.24,585.0,0.11,2208.0,2216.0,0.67,0.65
14,0.76,4.24,589.0,0.11,2128.0,2240.0,0.67,0.75
15,0.76,4.25,584.0,0.11,2144.0,2216.0,0.67,0.76
16,0.76,4.25,585.0,0.11,2112.0,2232.0,0.67,0.65
17,0.76,4.25,582.0,0.11,2096.0,2216.0,0.67,0.2
18,0.76,4.25,584.0,0.11,2200.0,2160.0,0.67,0.14
19,0.76,4.25,585.0,0.12,2168.0,2152.0,0.67,0.27
20,0.76,4.24,589.0,0.12,2208.0,2144.0,0.67,0.8
21,0.76,4.24,590.0,0.12,2176.0,2144.0,0.67,0.82
22,0.76,4.25,587.0,0.12,2088.0,2152.0,0.67,0.8
23,0.76,4.25,587.0,0.12,2128.0,2152.0,0.67,0.76
24,0.76,4.24,583.0,0.12,2088.0,2112.0,0.67,0.73
25,0.76,4.25,586.0,0.12,2096.0,2160.0,0.67,0.67
26,0.76,4.25,590.0,0.12,2176.0,2168.0,0.67,0.31
27,0.75,4.25,587.0,0.12,2184.0,2136.0,0.67,0.14
28,0.75,4.25,589.0,0.12,2160.0,2144.0,0.67,0.12
29,0.75,4.25,588.0,0.12,2192.0,2184.0,0.67,0.1
30,0.75,4.25,583.0,0.12,3784.0,4424.0,0.67,0.12
31,0.91,4.09,614.0,0.0,3472.0,3688.0,0.53,0.88
32,0.93,4.07,791.0,0.0,3760.0,4184.0,0.47,0.9
33,0.97,4.02,959.0,0.0,4088.0,4480.0,0.45,0.76
34,1.02,3.97,1091.0,0.0,4360.0,4648.0,0.43,0.1
35,1.05,3.95,1169.0,0.0,4832.0,4752.0,0.47,0.06
36,1.05,3.97,1224.0,0.0,4864.0,4800.0,0.53,0.67
37,1.1,3.89,1243.0,0.0,4984.0,5416.0,0.53,0.75
38,1.1,3.9,1299.0,0.0,5464.0,5240.0,0.51,0.16
39,1.07,3.94,1342.0,0.0,4656.0,4744.0,0.51,0.84
40,1.01,3.96,1266.0,0.0,3872.0,4144.0,0.49,0.1
41,1.08,3.92,1240.0,0.0,4912.0,5000.0,0.51,0.06
42,1.09,3.9,1329.0,0.0,5120.0,5480.0,0.55,0.8
43,1.13,3.87,1432.0,0.0,5152.0,5264.0,0.53,0.45
44,1.13,3.87,1464.0,0.0,5328.0,4992.0,0.53,0.8
45,1.13,3.86,1484.0,0.0,4952.0,5136.0,0.53,0.65
46,1.14,3.86,1511.0,0.0,5208.0,4912.0,0.53,0.33
47,1.16,3.83,1544.0,0.0,5064.0,5328.0,0.57,0.73
48,1.16,3.83,1586.0,0.0,5432.0,5144.0,0.57,0.14
49,1.16,3.86,1616.0,0.0,5248.0,4848.0,0.59,0.84
50,1.13,3.87,1616.0,0.0,4624.0,4536.0,0.53,0.69
51,1.14,3.86,1623.0,0.0,4664.0,4936.0,0.51,0.12
52,1.14,3.85,1657.0,0.0,5080.0,4784.0,0.53,0.76
53,1.23,3.76,1710.0,0.0,5480.0,5872.0,0.61,0.18
54,1.31,3.68,1824.0,0.0,6776.0,6832.0,0.63,0.12
55,1.35,3.65,1930.0,0.0,6936.0,6752.0,0.67,0.86
56,1.35,3.65,1977.0,0.0,6768.0,6504.0,0.61,0.82
57,1.35,3.65,2020.0,0.0,6504.0,6680.0,0.59,0.69
58,1.36,3.64,2064.0,0.0,6936.0,6480.0,0.59,0.16
59,1.39,3.61,2163.0,0.0,6656.0,6960.0,0.61,0.57
60,1.45,3.54,2262.0,0.0,7128.0,7408.0,0.61,0.82
61,1.5,3.5,2320.0,0.0,7736.0,7208.0,0.61,0.41
62,1.52,3.48,2404.0,0.0,7216.0,7568.0,0.61,0.76
63,1.52,3.48,2479.0,0.0,7560.0,7440.0,0.61,0.82
64,1.52,3.47,2558.0,0.0,7024.0,6928.0,0.61,0.43
65,1.53,3.47,2636.0,0.0,6936.0,7216.0,0.61,0.69
66,1.54,3.46,2717.0,0.0,6904.0,7160.0,0.61,0.78
67,1.55,3.46,2787.0,0.0,7248.0,6720.0,0.63,0.8
68,1.55,3.45,2825.0,0.0,7184.0,6720.0,0.63,0.8
69,1.54,3.47,2644.0,0.0,6832.0,6896.0,0.61,0.33
70,1.48,3.53,2150.0,0.0,7304.0,7680.0,0.67,0.76
71,1.42,3.58,1957.0,0.0,7576.0,7072.0,0.61,0.69
72,1.43,3.56,1965.0,0.0,7192.0,7536.0,0.63,0.18
73,1.5,3.5,1997.0,0.0,8136.0,7616.0,0.65,0.31
74,1.56,3.43,2039.0,0.0,8176.0,8624.0,0.69,0.75
75,1.59,3.41,2072.0,0.0,8216.0,8608.0,0.69,0.78
76,1.6,3.39,2097.0,0.0,8672.0,8208.0,0.67,0.84
77,1.62,3.38,2111.0,0.0,8696.0,8192.0,0.67,0.16
78,1.62,3.38,2123.0,0.0,8192.0,8768.0,0.67,0.76
79,1.63,3.37,2146.0,0.0,8656.0,8288.0,0.67,0.82
80,1.63,3.37,2167.0,0.0,8632.0,8240.0,0.65,0.73
81,1.64,3.36,2179.0,0.0,8160.0,8272.0,0.67,0.31
82,1.65,3.35,2191.0,0.0,8208.0,8776.0,0.67,0.76
83,1.65,3.34,2217.0,0.0,8568.0,8224.0,0.65,0.75
84,1.66,3.34,2234.0,0.0,8208.0,8240.0,0.65,0.61
85,1.66,3.34,2252.0,0.0,8144.0,8672.0,0.65,0.75
86,1.66,3.33,2268.0,0.0,8600.0,8200.0,0.65,0.8
87,1.67,3.33,2273.0,0.0,8576.0,8208.0,0.65,0.22
88,1.67,3.33,2297.0,0.0,8072.0,8568.0,0.65,0.59
89,1.67,3.33,2317.0,0.0,8592.0,8120.0,0.65,0.76
90,1.67,3.33,2339.0,0.0,8496.0,8096.0,0.65,0.73
91,1.67,3.33,2356.0,0.0,8488.0,7992.0,0.67,0.75
92,1.66,3.35,2379.0,0.0,7992.0,8312.0,0.69,0.59
93,1.62,3.38,2397.0,0.0,7704.0,7592.0,0.67,0.73
94,1.58,3.42,2405.0,0.0,7872.0,7376.0,0.67,0.82
95,1.44,3.58,2409.0,0.0,6192.0,5912.0,0.67,0.75
