frame,MAP VACUUM,TPS VOLTS,ENGINE RPM,EGR SENSE VOLTS,CAT MODELED TEMP DEG,2/1 SHORT TERM ADAP,1/2 PWM O2 HEATER,TPS 1 VOLTS
0,18.349,0.6,675.0,0.0,838.4,-12.445,89.768,0.68
1,18.29,0.6,671.0,0.0,840.2,-11.47,89.768,0.68
2,18.349,0.6,673.0,0.0,840.2,-11.47,89.768,0.68
3,18.349,0.6,669.0,0.0,840.2,-12.445,79.968,0.68
4,18.231,0.6,666.0,0.0,840.2,-14.2,79.968,0.68
5,6.785,0.6,1578.0,0.0,851.0,-14.59,89.768,0.68
6,9.381,0.6,1360.0,0.0,856.4,-11.665,89.768,0.68
7,18.644,0.6,1109.0,0.0,870.8,-13.81,89.768,0.68
8,14.868,1.89,2631.0,0.0,896.0,-15.175,89.768,0.68
9,22.184,0.6,814.0,0.0,905.0,-11.47,89.768,0.68
10,18.821,0.995,1009.0,0.0,915.8,-12.64,89.768,0.68
11,21.653,0.6,853.0,0.0,917.6,-15.955,99.96,0.68
12,23.128,0.6,1222.0,0.0,930.2,-11.08,79.968,0.68
13,19.234,0.6,736.0,0.0,930.2,-7.57,89.768,0.68
14,18.29,0.6,746.0,0.0,933.8,-8.35,79.968,0.68
15,18.408,0.6,766.0,0.0,933.8,-7.57,79.968,0.68
16,18.408,0.6,752.0,0.0,935.6,-8.545,79.968,0.68
17,18.408,0.6,747.0,0.0,937.4,-6.79,89.768,0.68
18,18.467,0.6,738.0,0.0,939.2,-10.69,79.968,0.68
19,21.594,0.6,896.0,0.0,944.6,-7.57,89.768,0.68
20,18.821,0.6,748.0,0.0,944.6,-6.01,89.768,0.68
21,18.526,0.6,764.0,0.0,946.4,-8.545,89.768,0.68
22,2.065,0.595,1888.0,0.0,951.8,-10.495,89.768,0.68
23,19.824,0.6,760.0,0.0,953.6,-5.425,89.768,0.68
24,18.526,0.6,749.0,0.0,953.6,-8.74,99.96,0.68
25,18.526,0.6,758.0,0.0,953.6,-6.205,89.768,0.68
26,18.585,0.6,757.0,0.0,953.6,-8.545,89.768,0.68
27,18.526,0.6,748.0,0.0,955.4,-8.935,99.96,0.68
28,18.585,0.6,733.0,0.0,955.4,-9.325,79.968,0.68
29,18.998,0.6,712.0,0.0,955.4,-10.885,79.968,0.68
30,6.785,0.92,2276.0,0.0,957.2,-11.275,79.968,0.68
31,20.119,1.795,2098.0,0.0,960.8,-15.37,89.768,0.68
32,20.709,0.6,838.0,0.0,966.2,-10.495,89.768,0.68
33,18.467,0.6,750.0,0.0,968.0,-6.01,79.968,0.68
34,18.349,0.6,745.0,0.0,969.8,-8.74,89.768,0.68
35,18.408,0.6,761.0,0.0,971.6,-9.13,89.768,0.68
36,21.594,0.6,867.0,0.0,977.0,-9.325,79.968,0.68
37,22.656,0.6,886.0,0.0,982.4,-6.205,79.968,0.68
38,18.703,0.6,756.0,0.0,982.4,-8.35,89.768,0.68
39,18.467,0.6,750.0,0.0,984.2,-4.45,79.968,0.68
40,18.526,0.6,798.0,0.0,984.2,-11.47,89.768,0.68
41,18.998,0.6,790.0,0.0,986.0,-16.345,89.768,0.68
42,18.821,0.6,763.0,0.0,986.0,-20.245,69.776,0.68
43,18.821,0.6,749.0,0.0,986.0,-3.865,89.768,0.68
44,19.234,0.6,693.0,0.0,986.0,-7.765,69.776,0.68
45,19.057,2.105,1459.0,0.0,987.8,-8.935,89.768,0.68
46,21.004,0.6,814.0,0.0,987.8,-7.375,89.768,0.68
47,18.467,0.6,739.0,0.0,987.8,-7.375,69.776,0.68
48,18.29,0.6,761.0,0.0,987.8,-6.205,69.776,0.68
49,18.349,0.6,750.0,0.0,987.8,-8.74,79.968,0.68
50,18.408,0.6,738.0,0.0,987.8,-8.74,79.968,0.68
51,18.467,0.6,729.0,0.0,987.8,-9.52,79.968,0.68
52,18.467,0.6,722.0,0.0,987.8,-10.3,79.968,0.68
53,18.939,0.6,708.0,0.0,986.0,-11.665,79.968,0.68
54,18.821,0.6,706.0,0.0,986.0,-12.25,99.96,0.68
55,18.88,0.6,684.0,0.0,984.2,-12.445,79.968,0.68
56,18.762,0.6,690.0,0.0,984.2,-12.835,89.768,0.68
57,18.821,0.6,684.0,0.0,982.4,-12.64,89.768,0.68
58,18.762,0.6,677.0,0.0,982.4,-12.055,89.768,0.68
59,18.762,0.6,661.0,0.0,980.6,-12.445,79.968,0.68
60,18.762,0.6,657.0,0.0,980.6,-12.055,79.968,0.68
61,18.762,0.6,653.0,0.0,978.8,-11.08,79.968,0.68
