frame,Mis-Fire Monitor Status,Mis-Fire Counter-200 REV,Mis-Fire Counter CAT 200 Rev,Cylinder 1 FTP Mis-Fire Counter,Cylinder 2 FTP Mis-Fire Counter,Cylinder 3 FTP Mis-Fire Counter,Cylinder 4 FTP Mis-Fire Counter,Cylinder 5 FTP Mis-Fire Counter,Cylinder 6 FTP Mis-Fire Counter,Cylinder 7 FTP Mis-Fire Counter,Cylinder 8 FTP Mis-Fire Counter
0,,675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,,650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,,609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,,588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,,566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,,546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,,525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,,504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,,483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,,453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,,430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,,394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,,323.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,,296.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,,296.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16,,296.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17,,296.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18,,286.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19,,237.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20,,208.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21,,208.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22,,144.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23,,117.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24,,106.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25,,106.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26,,106.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27,,106.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28,,93.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29,,72.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30,,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
31,,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
32,,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33,,786.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34,,765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
35,,744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
36,,723.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
37,,703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38,,683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39,,663.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40,,642.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
41,,619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
42,,575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
43,,573.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
44,,566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
45,,546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
46,,524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
47,,465.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
48,,427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
49,,427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50,,427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51,,427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
52,,419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
53,,396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
54,,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
55,,355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
56,,334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
57,,314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
58,,293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
59,,272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
60,,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
61,,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
62,,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
63,,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
64,,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
65,,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
66,,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
67,,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
68,,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
69,,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
70,,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
71,,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
72,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
73,,787.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
74,,767.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
75,,746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
76,,726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
77,,706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
78,,686.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
79,,666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
80,,646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
81,,627.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
82,,608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
83,,588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
84,,567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
85,,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
86,,507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
87,,475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88,,446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89,,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
90,,396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
91,,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
92,,354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
93,,335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
94,,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
95,,297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
96,,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
97,,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
98,,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
99,,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
100,,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
101,,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
102,,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
103,,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
104,,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
105,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
106,,785.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
107,,762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
108,,739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
109,,716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
110,,694.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
111,,672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
112,,651.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
113,,628.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
114,,595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
115,,557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
116,,522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
117,,492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
118,,454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
119,,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
120,,371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
121,,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
122,,291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
123,,258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
124,,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
125,,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
126,,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
127,,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
128,,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
129,,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
130,,796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,,756.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,,713.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,,670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,,636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,,601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,,562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,,518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,,472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,,426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
