frame,MAP Vacuum,TPS 1 Volts,TPS 2 Volts,Engine Speed,1/1 O2 Sensor Level,1/1 Short Term ADAP,2/1 Short Term ADAP,Intake Air Temp
0,20.3,0.71,4.3,604.0,,3.9,1.95,138.2
1,20.06,0.7,4.3,603.0,,4.49,2.53,138.2
2,20.0,0.71,4.28,573.0,,4.68,3.12,138.2
3,19.65,0.72,4.28,590.0,,4.68,3.12,138.2
4,19.47,0.71,4.29,590.0,,2.34,3.12,138.2
5,19.47,0.71,4.3,593.0,,2.34,3.12,138.2
6,19.53,0.71,4.3,591.0,,2.14,3.12,138.2
7,19.53,0.71,4.3,591.0,,2.14,2.92,138.2
8,19.53,0.71,4.3,592.0,,1.95,0.38,138.2
9,19.53,0.71,4.3,596.0,,1.75,0.38,138.2
10,19.53,0.71,4.3,596.0,,0.97,-0.01,138.2
11,19.0,0.76,4.24,628.0,,0.38,-0.4,138.2
12,18.58,0.73,4.27,676.0,,-0.4,-1.57,138.2
13,19.06,0.73,4.28,701.0,,-0.98,-2.15,138.2
14,19.47,0.73,4.27,698.0,,-1.76,-2.94,138.2
15,19.53,0.76,4.24,687.0,,-2.35,-3.72,138.2
16,18.7,0.85,4.14,694.0,,-3.33,-4.5,138.2
17,16.52,0.9,4.09,799.0,,-5.67,-7.23,138.2
18,15.04,0.93,4.07,943.0,,-8.21,-9.38,138.2
19,14.75,0.95,4.05,1030.0,,-7.82,-3.52,138.2
20,14.57,0.96,4.04,1098.0,,-1.57,0.38,138.2
21,14.51,0.97,4.03,1152.0,,-0.2,5.07,138.2
22,14.87,0.93,4.07,1168.0,,5.07,7.02,138.2
23,15.63,0.91,4.09,1146.0,,3.9,0.97,138.2
24,16.64,0.87,4.13,1090.0,,-2.55,-1.76,138.2
25,17.4,0.85,4.15,1006.0,,-3.33,-3.91,138.2
26,17.76,0.85,4.15,945.0,,-5.28,1.95,138.2
27,17.76,0.84,4.16,911.0,,-3.72,2.92,138.2
28,17.7,0.84,4.16,887.0,,2.14,8.2,138.2
29,17.4,0.87,4.13,913.0,,5.46,9.95,138.2
30,16.87,0.87,4.13,955.0,,10.54,4.29,138.2
31,18.17,0.71,4.28,913.0,,8.78,3.9,138.2
32,19.71,0.74,4.26,811.0,,6.24,3.51,138.2
33,19.94,0.74,4.27,727.0,,6.24,3.31,138.2
34,19.94,0.72,4.28,681.0,,6.05,3.31,138.2
35,19.94,0.72,4.29,645.0,,5.85,3.12,138.2
36,19.76,0.72,4.28,621.0,,5.66,2.92,138.2
37,19.59,0.7,4.32,613.0,,5.27,2.73,138.2
38,19.53,0.73,4.26,650.0,,5.07,2.73,138.2
39,19.35,0.74,4.27,704.0,,4.49,1.95,138.2
40,18.53,0.86,4.13,678.0,,3.51,7.02,138.2
41,15.69,0.92,4.07,856.0,,0.58,6.63,138.2
42,14.57,0.97,4.02,1039.0,,-2.15,0.58,138.2
43,13.98,0.99,4.01,1145.0,,-4.11,-2.15,138.2
44,14.1,0.96,4.05,1186.0,,-4.3,-3.52,138.2
45,15.28,0.93,4.07,1167.0,,0.77,-4.89,138.2
46,15.87,0.93,4.07,1124.0,,-5.08,0.19,138.2
47,16.05,0.91,4.09,1088.0,,-6.06,1.36,138.2
48,16.22,0.92,4.08,1064.0,,-1.57,-3.91,138.2
49,16.22,0.91,4.09,1047.0,,0.77,1.17,138.2
50,16.22,0.9,4.1,1055.0,,3.7,2.53,138.2
51,16.46,0.9,4.1,1064.0,,-1.18,6.44,138.2
52,16.93,0.86,4.14,1061.0,,-1.57,6.24,138.2
53,17.58,0.86,4.14,1023.0,,-3.72,0.38,138.2
54,17.94,0.84,4.17,992.0,,1.17,-0.98,138.2
55,18.76,0.77,4.23,968.0,,1.36,-1.18,138.2
56,20.0,0.72,4.28,903.0,,1.95,-1.57,138.2
57,20.89,0.71,4.29,839.0,,-3.33,-2.15,138.2
58,21.18,0.71,4.29,791.0,,-3.72,-2.15,138.2
59,21.24,0.71,4.29,777.0,,-4.11,2.92,138.2
60,21.06,0.74,4.26,788.0,,-4.11,3.7,138.2
61,20.83,0.75,4.25,806.0,,-3.33,4.29,138.2
62,20.53,0.76,4.24,817.0,,-1.57,5.85,138.2
63,20.36,0.77,4.23,827.0,,3.51,5.46,138.2
64,20.12,0.8,4.2,854.0,,4.09,0.38,138.2
65,19.59,0.83,4.17,875.0,,4.09,-0.01,138.2
66,19.06,0.84,4.17,913.0,,-1.18,-0.79,138.2
67,18.64,0.85,4.15,955.0,,-1.57,4.29,138.2
68,18.47,0.85,4.14,986.0,,-1.96,4.49,138.2
69,17.88,0.9,4.1,1036.0,,3.12,6.63,138.2
70,17.46,0.89,4.11,1091.0,,3.7,7.22,138.2
71,17.64,0.89,4.11,1117.0,,4.88,1.75,138.2
72,17.88,0.88,4.12,1122.0,,-0.79,0.58,138.2
73,18.23,0.86,4.14,1114.0,,-1.96,0.19,138.2
74,18.53,0.86,4.14,1106.0,,-1.96,5.66,138.2
75,18.82,0.84,4.17,1110.0,,3.7,7.22,138.2
76,19.35,0.82,4.19,1108.0,,4.29,2.14,138.2
77,20.06,0.8,4.2,1089.0,,3.7,1.56,138.2
78,20.41,0.8,4.2,1089.0,,-1.57,-0.01,138.2
79,20.59,0.79,4.21,1092.0,,-1.96,-0.4,138.2
80,20.77,0.79,4.21,1091.0,,-3.13,-0.98,138.2
81,20.89,0.79,4.21,1093.0,,-4.11,-1.37,138.2
82,20.89,0.8,4.2,1093.0,,-4.5,3.7,138.2
83,20.83,0.8,4.2,1076.0,,-4.11,4.09,138.2
84,20.83,0.79,4.21,1077.0,,1.36,4.88,138.2
85,20.83,0.82,4.17,1080.0,,2.53,-0.2,138.2
86,20.36,0.85,4.15,1075.0,,4.88,-0.59,138.2
87,19.76,0.87,4.11,1090.0,,7.81,4.68,138.2
88,18.88,0.9,4.1,1117.0,,10.93,6.24,138.2
89,18.23,0.9,4.11,1131.0,,10.93,9.76,138.2
90,18.29,0.86,4.15,1136.0,,5.66,9.95,138.2
91,18.94,0.83,4.17,1100.0,,4.49,4.49,138.2
92,19.41,0.81,4.19,1050.0,,3.12,3.51,138.2
93,19.65,0.83,4.17,1017.0,,1.95,2.14,138.2
94,19.53,0.83,4.17,1017.0,,0.97,1.56,138.2
95,19.35,0.84,4.16,1009.0,,-0.01,1.36,138.2
