pid,unit,n,na,min,max,mean,sd,first,last,range,flag
Mis-Fire Monitor Status,,0,598,,,,,,,,NO-DATA
Mis-Fire Counter-200 REV,,598,0,1.0,798.0,417.39297658862876,235.3120345332058,675.0,443.0,797.0,
Mis-Fire Counter CAT 200 Rev,,598,0,0.0,1.0,0.033444816053511704,0.17979505091258344,0.0,0.0,1.0,
Cylinder 1 FTP Mis-Fire Counter,,598,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
Cylinder 2 FTP Mis-Fire Counter,,598,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
Cylinder 3 FTP Mis-Fire Counter,,598,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
Cylinder 4 FTP Mis-Fire Counter,,598,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
Cylinder 5 FTP Mis-Fire Counter,,598,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
Cylinder 6 FTP Mis-Fire Counter,,598,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
Cylinder 7 FTP Mis-Fire Counter,,598,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
Cylinder 8 FTP Mis-Fire Counter,,598,0,0.0,1.0,0.1956521739130435,0.3967019041498839,0.0,0.0,1.0,
